Timestamp,Open,High,Low,Close,Volume
2024-03-22 11:08:00,571.75,571.75,571.58,571.61,11.071
2024-03-22 11:09:00,571.63,571.63,570.77,570.77,9.092
2024-03-22 11:10:00,569.95,569.95,569.52,569.52,0.627
2024-03-22 11:11:00,569.48,570.18,569.48,570.18,0.062
2024-03-22 11:12:00,570.18,570.18,570.18,570.18,0.0
2024-03-22 11:13:00,570.04,570.04,570.04,570.04,17.54
2024-03-22 11:14:00,570.16,570.26,570.16,570.26,1.358
2024-03-22 11:15:00,570.41,570.41,569.64,569.68,5.532
2024-03-22 11:16:00,569.68,569.68,569.68,569.68,0.0
2024-03-22 11:17:00,570.58,570.58,570.58,570.58,12.367
2024-03-22 11:18:00,571.71,571.71,571.71,571.71,0.03
2024-03-22 11:19:00,571.71,571.71,571.71,571.71,0.0
2024-03-22 11:20:00,570.87,570.87,570.31,570.31,1.809
2024-03-22 11:21:00,570.78,570.78,570.78,570.78,0.042
2024-03-22 11:22:00,570.96,571.09,570.96,571.08,5.192
2024-03-22 11:23:00,570.99,571.06,570.99,571.06,1.059
2024-03-22 11:24:00,571.1,571.1,571.1,571.1,0.033
2024-03-22 11:25:00,571.1,571.1,571.1,571.1,0.0
2024-03-22 11:26:00,569.66,569.66,569.16,569.16,0.134
2024-03-22 11:27:00,569.9,570.05,569.9,570.05,0.102
2024-03-22 11:28:00,571.33,571.33,571.33,571.33,8.96
2024-03-22 11:29:00,571.04,571.04,570.9,570.9,0.082
2024-03-22 11:30:00,570.55,570.55,570.35,570.35,0.066
2024-03-22 11:31:00,571.55,571.55,571.55,571.55,0.298
2024-03-22 11:32:00,571.55,571.55,571.55,571.55,0.0
2024-03-22 11:33:00,573.05,573.05,573.04,573.04,0.062
2024-03-22 11:34:00,573.06,573.27,572.95,573.19,0.411
2024-03-22 11:35:00,572.75,572.75,572.75,572.75,0.03
2024-03-22 11:36:00,572.69,572.69,572.69,572.69,1.749
2024-03-22 11:37:00,572.88,572.88,572.82,572.82,6.634
2024-03-22 11:38:00,572.05,572.05,571.89,571.89,1.963
2024-03-22 11:39:00,571.99,572.03,571.99,572.03,18.493
2024-03-22 11:40:00,572.03,572.03,572.03,572.03,0.0
2024-03-22 11:41:00,571.74,571.74,571.74,571.74,0.067
2024-03-22 11:42:00,571.85,571.85,571.85,571.85,0.072
2024-03-22 11:43:00,571.99,572.05,571.99,572.05,0.061
2024-03-22 11:44:00,572.22,572.54,572.21,572.21,23.085
2024-03-22 11:45:00,572.93,572.93,572.93,572.93,0.055
2024-03-22 11:46:00,572.3,572.3,572.1,572.1,0.864
2024-03-22 11:47:00,572.02,572.02,571.9,571.91,79.588
2024-03-22 11:48:00,570.56,570.56,570.51,570.51,0.092
2024-03-22 11:49:00,570.59,570.59,570.59,570.59,0.034
2024-03-22 11:50:00,569.29,569.39,568.46,568.46,27.838
2024-03-22 11:51:00,568.05,568.63,568.05,568.5,3.728
2024-03-22 11:52:00,568.13,568.13,568.13,568.13,0.874
2024-03-22 11:53:00,568.19,568.19,567.35,567.37,32.249
2024-03-22 11:54:00,567.07,567.07,565.77,565.77,168.408
2024-03-22 11:55:00,565.43,565.43,563.79,563.79,45.657
2024-03-22 11:56:00,564.05,566.46,564.05,566.21,71.157
2024-03-22 11:57:00,566.69,566.69,565.38,565.7,213.906
2024-03-22 11:58:00,566.11,566.41,566.11,566.41,37.222
2024-03-22 11:59:00,565.63,565.82,565.62,565.82,39.1
2024-03-22 12:00:00,565.79,566.74,565.79,566.71,56.941
2024-03-22 12:01:00,566.11,567.76,566.11,567.76,221.473
2024-03-22 12:02:00,566.71,566.71,564.33,564.33,7.548
2024-03-22 12:03:00,563.93,563.93,563.75,563.76,50.066
2024-03-22 12:04:00,562.71,565.02,562.71,564.96,76.05
